CUST_ID,SITE_ID
661791219,MLB
594356312,MLM
242030964,MLB
19415557,MLM
249957205,MLB
1079536719,MLB
1072771106,MLB
176000767,MCO
664842084,MLM
665813236,MLB
478228971,MLC
425856970,MLM
260474743,MLA
382297122,MLB
1041152758,MLM
1045538029,MLB
46538379,MLM
43010532,MLM
307030075,MLB
454907518,MLB
25523702,MLM
839401151,MLB
277842919,MLB
364849855,MLC
696570941,MLB
130090710,MLB
1132836063,MLM
198862055,MLA
269750420,MLB
797889396,MLB
734017545,MLB
103265418,MLM
102554675,MLB
439956750,MLB
357898401,MLM
353157164,MLC
359191849,MLB
296115542,MLB
829320695,MLM
492968233,MLA
413612119,MLB
414281214,MLB
414419217,MLB
411036323,MLB
457050344,MLB
80368614,MLA
223293702,MLM
206520113,MLB
89433143,MLM
81367971,MLM
269908944,MLM
265572247,MLM
152630184,MLB
582484584,MLC
211671424,MLB
63489063,MLB
1027166685,MLB
147909879,MLB
166571991,MLB
163124099,MLB
26906228,MLB
22570475,MLB
321082653,MLB
210854054,MLM
280874472,MCO
510138428,MLM
517806806,MLB
517453544,MLB
195725350,MLB
136881278,MLB
533602951,MLB
1185295958,MLM
142102769,MLB
141223335,MLB
77234115,MLM
76883658,MLM
165378678,MLM
175691144,MLM
747039268,MLM
722292169,MLM
729073140,MLB
723070102,MLB
390412387,MLM
404532128,MLB
401436533,MLB
1154319481,MLM
708239378,MLM
707944674,MLM
287686970,MLB
118096157,MLA
66812056,MLB
97875264,MLB
96537668,MLB
95413620,MLB
172083246,MLB
256980840,MLM
255495081,MLM
188078446,MLM
188947502,MLM
188423992,MLB
3218374,MLM
261910954,MLB
1061420860,MLB
194482578,MLB
217286342,MLB
216243106,MLB
801037152,MLM
128742269,MLB
201394294,MLB
542340628,MLM
543115836,MLM
543683526,MLM
548808564,MLB
688972590,MLM
338326459,MLB
332224486,MLB
240470864,MLM
93859610,MLA
523737883,MLC
180754671,MLB
50024229,MLB
37093429,MLM
32693797,MLC
608772188,MLM
311673272,MLM
499160330,MLB
506466133,MLM
502873080,MLM
507040710,MLB
505909430,MLA
160266157,MLB
89489113,MLB
346654925,MLB
5427093,MLA
3255473,MLA
33991881,MLB
309215431,MLM
300255630,MLM
302038466,MLM
1016678132,MLB
700036507,MLB
364128724,MLA
554146978,MLB
1080342661,MLM
600647828,MLB
750410989,MLM
751516417,MLM
534406153,MLC
1029905409,MLM
592824188,MLM
243212015,MLB
427576704,MLM
262534542,MCO
543977476,MLB
543164177,MLB
1040038850,MLB
57887080,MLM
56531076,MLM
49903225,MLM
46146788,MLM
48632482,MLB
251661624,MLB
251206874,MLB
1055166436,MLM
817755155,MLM
817236970,MLB
454552248,MLA
411084319,MLM
392466008,MLM
270193032,MLC
276874516,MLB
133697294,MLB
139725733,MLA
1034097640,MLM
266266071,MLB
792762841,MLM
775890077,MLC
776491685,MLB
736239175,MLM
734863091,MLB
107368093,MLB
436252977,MLB
649218822,MLB
645871777,MLC
358316093,MLB
295232870,MLB
293566844,MLB
292958957,MLB
555620500,MLM
186749991,MLB
454647174,MLM
453138746,MLC
177890631,MLB
174449551,MLB
222723975,MLB
222684397,MLB
482996095,MLM
484622060,MLM
1096323557,MLC
1091291841,MLB
68091964,MLA
113533533,MLM
140250624,MLM
165396572,MLB
22986559,MLB
20073017,MLB
72687102,MLB
237330330,MLB
234008966,MLB
53212238,MLB
511148442,MLM
196406046,MLM
135395515,MLB
132038968,MLA
535826037,MCO
445649004,MLC
440269521,MLB
440350684,MLB
622442799,MLC
628238536,MLB
1181793867,MLM
77748020,MLB
239188309,MLM
179850092,MLB
747051366,MLM
725171048,MLB
151730054,MLM
671602602,MLB
394679636,MLB
401491073,MLB
574008588,MLB
708416227,MLB
287022658,MLB
285400054,MLB
114379438,MLB
65126723,MLB
92763875,MLM
96304070,MLB
171406427,MLB
180499047,MLM
785312381,MLM
788152132,MLB
191017475,MLB
127755065,MLB
204482137,MLB
543218859,MLM
812517699,MLB
810342377,MLB
180702024,MLB
188316739,MLA
764691312,MLM
769458483,MLM
328008077,MLB
326406249,MLB
11389725,MLM
754494262,MCO
39708637,MLB
37995048,MLB
36095539,MLB
315887843,MLC
319898796,MLB
313264988,MLB
497502290,MLM
498882650,MLB
493022660,MLB
505914117,MLB
1001014434,MLB
464804885,MLB
346523812,MLB
344800248,MLB
5329553,MCO
34604496,MLB
696708835,MLM
699365441,MLB
146288949,MLM
142177936,MLM
370383719,MLB
605078635,MLB
533860028,MLM
661154298,MLB
242062248,MLB
1054661608,MLB
137792999,MLM
431176656,MLB
581008377,MLB
581604661,MLB
769774284,MLM
666066818,MLM
1171580471,MLM
823673932,MLC
827042044,MLB
254780334,MLB
303881197,MLB
303959026,MLB
415820145,MLM
414316669,MLM
834256743,MLB
652688047,MLB
652213852,MLB
659831541,MLM
656085157,MLM
132782005,MLB
132519815,MLB
564691597,MLM
1037773708,MLC
1109267179,MLB
262222456,MLM
269167870,MLB
265838472,MLB
799464705,MLB
794926738,MLB
779729096,MLM
733778490,MLM
438372964,MLC
646172637,MLB
379207358,MLB
824342708,MLM
338735773,MLM
229542943,MLM
176051258,MLB
208573988,MLB
205443664,MLB
610826564,MLM
615545811,MLM
617958925,MLC
615463073,MLB
485487253,MLB
583746363,MLM
583959605,MLM
580005698,MLM
589321635,MLB
216792577,MLA
213435603,MLA
211851550,MLA
210570961,MLA
62220031,MLB
149297805,MLB
29607944,MLB
28510619,MLB
280824856,MCO
518970575,MLB
510885856,MLB
136788978,MLB
441823529,MLM
442581007,MLM
445663557,MLC
447228871,MLB
445648809,MLB
441303455,MLB
627385266,MLB
77764517,MLM
79637652,MLB
174860156,MLM
175053063,MLM
170305816,MLM
635704307,MLM
636344498,MLM
635449366,MLC
748505242,MLM
725647691,MLM
403271655,MLA
476077996,MLB
708814071,MLB
701769974,MLC
115757683,MLB
112538836,MLB
114991128,MLA
114279911,MLA
170847064,MLB
173568952,MLA
252929612,MLM
188063297,MLM
4727300,MLM
702017,MLM
3830520,MLB
